Stock_name;Count;Manufacturer;Catalog no.;Price;Total Price
12-WELLS CULTURE PLATE CORNING;1;DUTSCHER;003513    ;56.0;56.0
BLACK 96-WELLS PLATE FLUORESCENCE AND LUMINESCENCE;1;DUTSCHER;055214;144.12;144.12
AUTOCLAVE STERILISATION INDICATOR ;1;DUTSCHER;972446;95.5;95.5
RNASE AWAY SPRAY ;1;DUTSCHER;038184;34.5;34.5
LARGE ZIP BAG ;1;DUTSCHER;140317;44.28;44.28
WATER BATH DISINFECTANT;1;DUTSCHER;074022;61.4;61.4
STANDARD PETRI DISH STERILE;1;DUTSCHER;020006;95.87;95.87
8-WELLS LABTEK ;1;FISHER SCIENTIFIC;16290661;512.7;512.7
STERILE OCTAGONAL BOTTLE 500 ML;1;DUTSCHER;950700;79.0;79.0
FILTER TIPS 100µL STERILE ONE TOUCH;1;DUTSCHER;10510;164.4;164.4
AUTOCLAVE SMALL FLAT BAG;1;DUTSCHER;019580;55.4;55.4
SP PESTLE AND 1.5 ML TUBE;1;FISHER SCIENTIFIC;11772324;123.52;123.52
ALPHAGAZ 1 CO2 BOTTLE 50 L;1;AIR LIQUID;P0211L50R0A001;110.0;110.0
96-WELLS CULTURE PLATE BIOMAT LYS3497;1;BIOMAT;MC42F-LYS-L/S with lid;33.333;33.333
CULTURE INSERT FOR 24-WELL PLATES;1;CLINISCIENCES;80242;753.0;753.0
CELL SCRAPER (180MM);1;DUTSCHER;010153;127.17;127.17
24-WELLS CULTURE PLATE CLEARLINE;1;DUTSCHER;131020C;200.7;200.7
96-WELLS CULTURE PLATE NUNC;1;DUTSCHER;055262;432.9;432.9
AUTOCLAVE CLEANER;1;DUTSCHER;950772;34.2;34.2
ALUMINIUM FOIL;1;DUTSCHER;419005;61.83;61.83
96-WELLS CULTURE PLATE CORNING (WHITE AND TRANSPARENT BOTTOM);1;DUTSCHER;003610;270.0;270.0
DEEPWELL PLATE STERILE 2 ML GREINER;1;DUTSCHER;780271;187.0;187.0
STERILE TUBE FOR CULTURE 15 ML GREINER;1;DUTSCHER;188161;235.8;235.8
STERILE TUBE FOR CULTURE 50 ML GREINER;1;DUTSCHER;227270;189.0;189.0
